run_id,config_name,ticker,oos_start,oos_end,n_oos,skill_score,base_logloss,log_loss,accuracy,base_logloss_2025,log_loss_2025,base_logloss_2026q1,log_loss_2026q1,strategy_cagr,strategy_sharpe,strategy_max_dd,strategy_final_equity,bench_cagr,bench_sharpe,bench_max_dd,bench_final_equity,excess_cagr,excess_sharpe,report_path
20260522-212933,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-212933/report.html
20260522-212940,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-212940/report.html
20260522-212957,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-212957/report.html
20260522-222757,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-222757/report.html
20260522-222855,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-222855/report.html
20260522-222950,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports/dev_synthetic-20260522-222950/report.html
20260526-124439,baseline_v1,SPY,2010-10-18,2026-04-23,3914,-0.037957,0.667185,0.692509,0.556464,0.6549,0.6933,0.670263,0.693999,0.0796,0.665601,-0.337504,3.28473,0.145365,0.886858,-0.337173,8.227549,-0.065765,-0.221257,reports/baseline_v1-20260526-124439/report.html
20260526-184955,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports\dev_synthetic-20260526-184955\report.html
20260526-185029,dev_synthetic,FAKE,2008-03-11,2026-04-24,4743,-0.00192,0.692627,0.693957,0.503479,0.6611,0.691,0.666278,0.692805,0.013925,0.179453,-0.458896,1.297231,0.021953,0.21942,-0.55662,1.504758,-0.008028,-0.039967,reports\dev_synthetic-20260526-185029\report.html
20260527-120203,baseline_six_signals,SPY,2010-12-30,2026-04-23,3862,-0.037582,0.668261,0.693376,0.515277,0.6549,0.6901,0.670263,0.719125,0.060726,0.582316,-0.229313,2.467632,0.139822,0.851135,-0.337173,7.427205,-0.079096,-0.268819,reports\baseline_six_signals-20260527-120203\report.html
20260527-134952,baseline_six_signals_unweighted,SPY,2010-12-30,2026-04-23,3851,-0.005104,0.668294,0.671705,0.609971,0.6557,0.6597,0.670263,0.800182,0.142454,0.903617,-0.267051,7.649732,0.140413,0.853699,-0.337173,7.443584,0.002041,0.049918,reports\baseline_six_signals_unweighted-20260527-134952\report.html
20260527-135054,baseline_six_signals,SPY,2010-12-30,2026-04-23,3851,-0.037443,0.668294,0.693317,0.51571,0.6557,0.6904,0.670263,0.719125,0.061286,0.587098,-0.229313,2.481188,0.140413,0.853699,-0.337173,7.443584,-0.079127,-0.266601,reports\baseline_six_signals-20260527-135054\report.html
20260527-143507,baseline_six_signals_lightgbm,SPY,2010-12-30,2026-04-23,3851,-0.147833,0.668294,0.76709,0.537782,0.6557,0.6898,0.670263,0.798588,0.092846,0.696513,-0.31983,3.882331,0.140413,0.853699,-0.337173,7.443584,-0.047567,-0.157186,reports\baseline_six_signals_lightgbm-20260527-143507\report.html
20260527-183934,baseline_six_signals_unweighted,SPY,2010-12-30,2026-04-23,3851,-0.005104,0.668294,0.671705,0.609971,0.6557,0.6597,0.670263,0.800182,0.142454,0.903617,-0.267051,7.649732,0.140413,0.853699,-0.337173,7.443584,0.002041,0.049918,reports\baseline_six_signals_unweighted-20260527-183934\report.html
20260527-190244,baseline_six_signals_unweighted,SPY,2010-12-30,2026-04-23,3851,-0.005104,0.668294,0.671705,0.609971,0.6557,0.6597,0.670263,0.800182,0.142454,0.903617,-0.267051,7.649732,0.140413,0.853699,-0.337173,7.443584,0.002041,0.049918,reports\baseline_six_signals_unweighted-20260527-190244\report.html
